date,20_day_sma,close,ewma_12,ewma_26,high,low,obv_10,open,rsi_14,volume
2015-06-01,243.39125000000004,249.45,246.5762937639211,238.76724880513947,251.6,247.47,-1492481.6,251.41,68.85,2505057.0
2015-06-02,244.28325000000004,248.35,246.84917165416974,239.47731949052485,249.4,246.3,-946908.0,248.92,65.77,2134809.0
2015-06-03,245.08525000000003,248.99,247.17852986916105,240.18218056789485,250.72,247.01,-816712.6,248.2,71.47,1781505.0
2015-06-04,245.85975000000002,245.92,246.9849098853403,240.60732602172732,249.3,245.71,-711574.3,247.5,72.42,2453615.0
2015-06-05,246.47675000000004,249.14,247.31646221639565,241.2395436428375,249.7,245.68,-432183.5,246.0,72.67,3022026.0
2015-06-08,247.46075000000005,256.29,248.6970065109604,242.3546661397839,258.75,250.31,-343429.9,250.85,64.26,5016997.0
2015-06-09,248.28625000000005,256.0,249.82054398469825,243.36566152194987,257.74,254.14,-348055.2,255.4,57.06,2611146.0
2015-06-10,248.58425000000005,250.7,249.9558449115442,243.90906027460318,254.0,248.5,-508377.7,251.9,70.14,3454453.0
2015-06-11,248.99575000000004,251.41,250.17956108097854,244.4647937896505,254.37,250.43,-271682.9,253.26,70.26,2044058.0
2015-06-12,249.32525,250.69,250.25809014603135,244.92600343586324,253.46,250.21,-239794.7,250.21,77.19,1422335.0
2015-06-15,249.40225,250.38,250.2768455082992,245.33007072264024,251.28,246.01,172154.0,249.7,77.21,2186175.0
2015-06-16,249.62075,253.12,250.71425389398263,245.90719184304626,253.44,249.095,545295.5,250.13,61.71,1984678.0
2015-06-17,250.28425,260.41,252.20590714782838,246.9816279032083,264.36,252.02,1068927.3,252.17,46.03,5512920.0
2015-06-18,251.16124999999997,261.89,253.6957675923423,248.0860983164909,263.46,260.02,1013026.0,262.0,47.17,2782703.0
2015-06-19,252.00574999999998,262.51,255.0518033517705,249.15466676560428,263.8,260.1,55218.4,262.4,47.63,2463013.0
2015-06-22,252.60875000000001,259.79,255.78075668427053,249.9425588595162,264.4,255.69,703414.8,262.15,51.67,4561079.0
